,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,REF_AREA,INDICATOR,Frequency,Reference Area,Indicator
0,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1950-01,1950-01-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
1,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1950-02,1950-02-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
2,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1950-03,1950-03-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
3,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1950-04,1950-04-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
4,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1950-05,1950-05-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
5,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1950-06,1950-06-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
6,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1950-07,1950-07-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
7,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1950-08,1950-08-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
8,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1950-09,1950-09-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
9,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1950-10,1950-10-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
10,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1950-11,1950-11-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
11,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1950-12,1950-12-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
12,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1951-01,1951-01-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
13,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1951-02,1951-02-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
14,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1951-03,1951-03-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
